time and date, Voltage of depth sensor (V), Depth (m)
2022-09-03T17:55:58,0.714,-0.13
2022-09-03T17:56:01,0.714,-0.13
2022-09-03T17:56:04,0.714,-0.19
2022-09-03T17:56:07,0.714,-0.19
2022-09-03T17:56:10,0.714,-0.19
2022-09-03T17:56:13,0.714,-0.13
2022-09-03T17:56:16,0.714,-0.19
2022-09-03T17:56:19,0.716,-0.19
2022-09-03T17:56:22,0.714,-0.13
2022-09-03T17:56:25,0.714,-0.19
2022-09-03T17:56:28,0.714,-0.19
2022-09-03T17:56:31,0.714,-0.19
2022-09-03T17:56:34,0.714,-0.19
2022-09-03T17:56:37,0.714,-0.13
2022-09-03T17:56:40,0.714,-0.13
2022-09-03T17:56:43,0.714,-0.19
2022-09-03T17:56:46,0.716,-0.13
2022-09-03T17:56:49,0.714,-0.13
2022-09-03T17:56:52,0.714,-0.13
2022-09-03T17:56:55,0.716,-0.19
2022-09-03T17:56:59,0.714,-0.19
2022-09-03T17:57:02,0.714,-0.19
2022-09-03T17:57:05,0.716,-0.13
2022-09-03T17:57:08,0.714,-0.13
2022-09-03T17:57:11,0.714,-0.19
2022-09-03T17:57:14,0.714,-0.13
2022-09-03T17:57:17,0.894,5.48
2022-09-03T17:57:20,0.986,8.54
2022-09-03T17:57:23,0.988,8.47
2022-09-03T17:57:26,1.368,20.58
2022-09-03T17:57:29,1.354,20.26
2022-09-03T17:57:32,0.714,-0.19
2022-09-03T17:57:35,0.716,-0.13
2022-09-03T17:57:38,0.714,-0.19
2022-09-03T17:57:41,0.714,-0.19
2022-09-03T17:57:44,0.714,-0.19
2022-09-03T17:57:47,0.716,-0.19
2022-09-03T17:57:50,0.714,-0.19
2022-09-03T17:57:53,0.714,-0.13
2022-09-03T17:57:56,0.714,-0.13
2022-09-03T17:57:59,0.714,-0.19
2022-09-03T17:58:02,0.714,-0.13
